Category: All categories

Week,diy: (Worldwide)
2018-01-07,60
2018-01-14,61
2018-01-21,57
2018-01-28,60
2018-02-04,62
2018-02-11,61
2018-02-18,58
2018-02-25,57
2018-03-04,55
2018-03-11,57
2018-03-18,57
2018-03-25,59
2018-04-01,58
2018-04-08,56
2018-04-15,57
2018-04-22,59
2018-04-29,64
2018-05-06,63
2018-05-13,57
2018-05-20,60
2018-05-27,61
2018-06-03,59
2018-06-10,60
2018-06-17,57
2018-06-24,57
2018-07-01,58
2018-07-08,60
2018-07-15,58
2018-07-22,60
2018-07-29,60
2018-08-05,60
2018-08-12,60
2018-08-19,58
2018-08-26,60
2018-09-02,60
2018-09-09,58
2018-09-16,60
2018-09-23,59
2018-09-30,63
2018-10-07,64
2018-10-14,66
2018-10-21,83
2018-10-28,78
2018-11-04,60
2018-11-11,61
2018-11-18,59
2018-11-25,65
2018-12-02,65
2018-12-09,63
2018-12-16,63
2018-12-23,58
2018-12-30,58
2019-01-06,56
2019-01-13,55
2019-01-20,55
2019-01-27,55
2019-02-03,56
2019-02-10,56
2019-02-17,54
2019-02-24,55
2019-03-03,55
2019-03-10,52
2019-03-17,55
2019-03-24,54
2019-03-31,54
2019-04-07,55
2019-04-14,55
2019-04-21,57
2019-04-28,58
2019-05-05,56
2019-05-12,54
2019-05-19,55
2019-05-26,57
2019-06-02,54
2019-06-09,56
2019-06-16,56
2019-06-23,54
2019-06-30,55
2019-07-07,54
2019-07-14,58
2019-07-21,56
2019-07-28,54
2019-08-04,55
2019-08-11,57
2019-08-18,56
2019-08-25,54
2019-09-01,54
2019-09-08,54
2019-09-15,55
2019-09-22,55
2019-09-29,58
2019-10-06,63
2019-10-13,64
2019-10-20,72
2019-10-27,77
2019-11-03,56
2019-11-10,58
2019-11-17,59
2019-11-24,55
2019-12-01,62
2019-12-08,58
2019-12-15,59
2019-12-22,54
2019-12-29,56
2020-01-05,51
2020-01-12,54
2020-01-19,53
2020-01-26,52
2020-02-02,53
2020-02-09,58
2020-02-16,54
2020-02-23,51
2020-03-01,55
2020-03-08,54
2020-03-15,64
2020-03-22,79
2020-03-29,90
2020-04-05,100
2020-04-12,92
2020-04-19,89
2020-04-26,92
2020-05-03,96
2020-05-10,88
2020-05-17,83
2020-05-24,82
2020-05-31,75
2020-06-07,71
2020-06-14,70
2020-06-21,69
2020-06-28,68
2020-07-05,66
2020-07-12,67
2020-07-19,66
2020-07-26,65
2020-08-02,65
2020-08-09,65
2020-08-16,64
2020-08-23,59
2020-08-30,59
2020-09-06,58
2020-09-13,57
2020-09-20,55
2020-09-27,56
2020-10-04,57
2020-10-11,60
2020-10-18,62
2020-10-25,75
2020-11-01,53
2020-11-08,59
2020-11-15,61
2020-11-22,62
2020-11-29,62
2020-12-06,60
2020-12-13,57
2020-12-20,58
2020-12-27,58
2021-01-03,53
2021-01-10,53
2021-01-17,55
2021-01-24,54
2021-01-31,55
2021-02-07,55
2021-02-14,55
2021-02-21,51
2021-02-28,51
2021-03-07,49
2021-03-14,51
2021-03-21,51
2021-03-28,53
2021-04-04,49
2021-04-11,50
2021-04-18,49
