,index,Week,week_number,year,Year-Week,How to play: (United States),How to drill: (United States),How to repair: (United States),diy: (United States),How to cook: (United States),How to sew: (United States),How to cut my own hair: (United States),how to plant seeds: (United States),FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,WORK_LIFE_BALANCE_SCORE
0,52,2019-01-06,1,2019,2019-1,5.6000000000000005,5.0,7.5,4.800000000000001,2.5,2.2,1.8,1.4000000000000001,2.84,2.52,5.48,4.32,5.8,6.4,4.32,3.0,1.4,6.12,3.6,5.88,2.72,7.12,2.8,3.16,1.72,6.4,2.8,6.64,668.32
1,53,2019-01-13,2,2019,2019-2,5.4,5.1000000000000005,7.6000000000000005,4.800000000000001,2.4000000000000004,2.1,1.3,1.3,2.81,2.83,5.03,5.17,4.86,6.17,3.36,2.17,1.42,5.42,2.72,6.06,2.53,6.61,2.56,3.03,1.81,4.78,3.03,6.5,656.9
2,54,2019-01-20,3,2019,2019-3,5.6000000000000005,5.1000000000000005,7.300000000000001,4.9,2.5,2.7,1.3,1.0,2.64,2.8,5.74,5.1,5.74,6.34,3.68,2.3,1.36,5.36,3.38,5.5,3.24,6.74,3.06,3.1,1.78,5.44,3.0,5.94,661.43
3,55,2019-01-27,4,2019,2019-4,5.4,4.9,7.0,5.0,2.3000000000000003,2.4000000000000004,1.3,1.3,2.41,2.95,6.03,5.27,5.32,5.49,4.03,2.16,1.49,5.51,2.95,6.46,3.62,6.7,3.32,2.24,1.73,6.3,3.11,6.43,661.28
4,56,2019-02-03,5,2019,2019-5,5.2,4.6000000000000005,7.0,4.9,2.2,2.3000000000000003,0.4,1.5,2.83,2.81,4.71,4.98,5.67,5.56,4.12,2.23,1.5,5.48,3.04,5.58,3.48,6.88,3.19,2.58,1.75,5.17,2.69,6.33,657.05
5,57,2019-02-10,6,2019,2019-6,5.300000000000001,5.1000000000000005,6.800000000000001,5.0,2.3000000000000003,2.0,0.4,1.5,2.91,2.57,5.63,6.2,5.51,6.29,3.89,2.94,1.4,5.89,3.14,5.74,3.86,7.09,3.4,3.29,1.77,6.54,3.34,6.6,671.4
6,58,2019-02-17,7,2019,2019-7,5.5,4.800000000000001,7.300000000000001,4.6000000000000005,2.2,2.6,0.4,1.8,3.65,2.85,5.48,5.44,5.41,6.08,4.2,2.8,1.54,6.45,3.62,6.17,3.52,7.0,2.48,3.25,1.85,5.77,3.25,7.18,672.9
7,59,2019-02-24,8,2019,2019-8,5.2,4.0,6.800000000000001,4.6000000000000005,1.9000000000000001,2.2,0.4,1.8,2.66,2.98,4.91,5.51,5.34,7.11,4.15,2.79,1.34,5.83,3.51,5.85,3.62,7.11,2.47,2.55,1.7,4.85,4.09,6.38,668.83
8,60,2019-03-03,9,2019,2019-9,5.1000000000000005,6.2,6.7,4.7,2.0,2.2,0.9,1.7000000000000002,2.94,2.72,6.25,5.81,5.39,7.08,3.72,2.64,1.56,4.89,2.94,5.44,3.75,6.67,2.11,2.89,1.72,6.36,3.75,6.44,667.13
9,61,2019-03-10,10,2019,2019-10,5.2,5.0,8.0,4.7,2.2,2.6,0.0,2.8000000000000003,2.69,2.77,5.38,5.58,4.69,5.65,3.27,2.62,1.5,5.08,2.27,5.23,3.15,7.04,2.85,1.92,1.73,4.58,2.69,5.5,653.3
10,62,2019-03-17,11,2019,2019-11,5.2,5.7,7.7,4.6000000000000005,2.3000000000000003,2.2,0.9,3.1,3.17,3.08,4.97,5.33,5.08,6.86,3.81,2.67,1.47,5.75,3.25,5.86,4.11,6.69,2.83,3.28,1.67,5.08,3.28,5.78,660.94
11,63,2019-03-24,12,2019,2019-12,5.1000000000000005,5.7,7.6000000000000005,4.9,2.0,2.7,0.5,2.7,2.59,2.75,4.84,5.38,6.09,6.5,3.25,2.81,1.47,5.84,2.53,5.88,3.25,7.16,3.31,3.19,1.75,4.81,3.09,6.16,659.7
