Category: All categories

Week,How to play: (United States)
2018-01-07,56
2018-01-14,58
2018-01-21,55
2018-01-28,54
2018-02-04,52
2018-02-11,52
2018-02-18,55
2018-02-25,54
2018-03-04,51
2018-03-11,58
2018-03-18,60
2018-03-25,57
2018-04-01,57
2018-04-08,51
2018-04-15,51
2018-04-22,49
2018-04-29,49
2018-05-06,49
2018-05-13,50
2018-05-20,55
2018-05-27,54
2018-06-03,49
2018-06-10,54
2018-06-17,56
2018-06-24,55
2018-07-01,56
2018-07-08,53
2018-07-15,55
2018-07-22,55
2018-07-29,51
2018-08-05,52
2018-08-12,51
2018-08-19,49
2018-08-26,48
2018-09-02,52
2018-09-09,48
2018-09-16,49
2018-09-23,49
2018-09-30,47
2018-10-07,49
2018-10-14,64
2018-10-21,68
2018-10-28,51
2018-11-04,50
2018-11-11,52
2018-11-18,63
2018-11-25,55
2018-12-02,55
2018-12-09,57
2018-12-16,59
2018-12-23,100
2018-12-30,74
2019-01-06,56
2019-01-13,54
2019-01-20,56
2019-01-27,54
2019-02-03,52
2019-02-10,53
2019-02-17,55
2019-02-24,52
2019-03-03,51
2019-03-10,52
2019-03-17,52
2019-03-24,51
2019-03-31,50
2019-04-07,48
2019-04-14,51
2019-04-21,49
2019-04-28,47
2019-05-05,46
2019-05-12,50
2019-05-19,51
2019-05-26,54
2019-06-02,52
2019-06-09,52
2019-06-16,57
2019-06-23,54
2019-06-30,53
2019-07-07,49
2019-07-14,54
2019-07-21,52
2019-07-28,50
2019-08-04,50
2019-08-11,49
2019-08-18,50
2019-08-25,50
2019-09-01,51
2019-09-08,48
2019-09-15,48
2019-09-22,52
2019-09-29,47
2019-10-06,48
2019-10-13,49
2019-10-20,49
2019-10-27,48
2019-11-03,50
2019-11-10,53
2019-11-17,50
2019-11-24,61
2019-12-01,52
2019-12-08,51
2019-12-15,56
2019-12-22,92
2019-12-29,76
2020-01-05,57
2020-01-12,55
2020-01-19,57
2020-01-26,51
2020-02-02,53
2020-02-09,52
2020-02-16,53
2020-02-23,55
2020-03-01,51
2020-03-08,51
2020-03-15,74
2020-03-22,87
2020-03-29,83
2020-04-05,87
2020-04-12,84
2020-04-19,77
2020-04-26,76
2020-05-03,70
2020-05-10,69
2020-05-17,68
2020-05-24,65
2020-05-31,59
2020-06-07,60
2020-06-14,60
2020-06-21,59
2020-06-28,59
2020-07-05,60
2020-07-12,58
2020-07-19,57
2020-07-26,57
2020-08-02,58
2020-08-09,58
2020-08-16,57
2020-08-23,56
2020-08-30,58
2020-09-06,57
2020-09-13,58
2020-09-20,59
2020-09-27,56
2020-10-04,58
2020-10-11,55
2020-10-18,56
2020-10-25,55
2020-11-01,45
2020-11-08,56
2020-11-15,61
2020-11-22,71
2020-11-29,62
2020-12-06,60
2020-12-13,66
2020-12-20,82
2020-12-27,90
2021-01-03,66
2021-01-10,67
2021-01-17,68
2021-01-24,60
2021-01-31,58
2021-02-07,59
2021-02-14,64
2021-02-21,59
2021-02-28,57
2021-03-07,55
2021-03-14,52
2021-03-21,55
2021-03-28,55
2021-04-04,54
2021-04-11,52
2021-04-18,52
