Category: All categories

Week,How to play: (Worldwide)
2018-01-07,65
2018-01-14,64
2018-01-21,63
2018-01-28,60
2018-02-04,58
2018-02-11,59
2018-02-18,61
2018-02-25,59
2018-03-04,58
2018-03-11,62
2018-03-18,64
2018-03-25,66
2018-04-01,63
2018-04-08,57
2018-04-15,60
2018-04-22,55
2018-04-29,55
2018-05-06,56
2018-05-13,57
2018-05-20,57
2018-05-27,59
2018-06-03,56
2018-06-10,59
2018-06-17,59
2018-06-24,58
2018-07-01,57
2018-07-08,58
2018-07-15,62
2018-07-22,62
2018-07-29,58
2018-08-05,59
2018-08-12,59
2018-08-19,59
2018-08-26,58
2018-09-02,58
2018-09-09,57
2018-09-16,56
2018-09-23,56
2018-09-30,54
2018-10-07,57
2018-10-14,64
2018-10-21,66
2018-10-28,56
2018-11-04,57
2018-11-11,57
2018-11-18,62
2018-11-25,60
2018-12-02,59
2018-12-09,61
2018-12-16,63
2018-12-23,98
2018-12-30,77
2019-01-06,62
2019-01-13,60
2019-01-20,58
2019-01-27,59
2019-02-03,61
2019-02-10,57
2019-02-17,59
2019-02-24,55
2019-03-03,58
2019-03-10,55
2019-03-17,58
2019-03-24,55
2019-03-31,56
2019-04-07,55
2019-04-14,56
2019-04-21,56
2019-04-28,53
2019-05-05,53
2019-05-12,53
2019-05-19,55
2019-05-26,59
2019-06-02,57
2019-06-09,57
2019-06-16,60
2019-06-23,56
2019-06-30,58
2019-07-07,55
2019-07-14,58
2019-07-21,58
2019-07-28,56
2019-08-04,56
2019-08-11,57
2019-08-18,58
2019-08-25,57
2019-09-01,56
2019-09-08,54
2019-09-15,55
2019-09-22,55
2019-09-29,55
2019-10-06,56
2019-10-13,55
2019-10-20,54
2019-10-27,54
2019-11-03,56
2019-11-10,54
2019-11-17,55
2019-11-24,59
2019-12-01,57
2019-12-08,56
2019-12-15,61
2019-12-22,94
2019-12-29,81
2020-01-05,60
2020-01-12,60
2020-01-19,60
2020-01-26,57
2020-02-02,55
2020-02-09,56
2020-02-16,58
2020-02-23,57
2020-03-01,57
2020-03-08,55
2020-03-15,76
2020-03-22,99
2020-03-29,100
2020-04-05,100
2020-04-12,99
2020-04-19,91
2020-04-26,89
2020-05-03,86
2020-05-10,81
2020-05-17,80
2020-05-24,76
2020-05-31,72
2020-06-07,70
2020-06-14,68
2020-06-21,69
2020-06-28,72
2020-07-05,70
2020-07-12,68
2020-07-19,69
2020-07-26,67
2020-08-02,66
2020-08-09,68
2020-08-16,66
2020-08-23,65
2020-08-30,65
2020-09-06,65
2020-09-13,68
2020-09-20,65
2020-09-27,66
2020-10-04,64
2020-10-11,60
2020-10-18,61
2020-10-25,60
2020-11-01,54
2020-11-08,64
2020-11-15,62
2020-11-22,65
2020-11-29,62
2020-12-06,62
2020-12-13,67
2020-12-20,87
2020-12-27,92
2021-01-03,68
2021-01-10,69
2021-01-17,68
2021-01-24,65
2021-01-31,64
2021-02-07,62
2021-02-14,66
2021-02-21,62
2021-02-28,60
2021-03-07,56
2021-03-14,55
2021-03-21,58
2021-03-28,61
2021-04-04,56
2021-04-11,56
2021-04-18,57
