Category: All categories

Week,How to repair: (United States)
2018-01-07,67
2018-01-14,79
2018-01-21,73
2018-01-28,71
2018-02-04,70
2018-02-11,74
2018-02-18,73
2018-02-25,74
2018-03-04,69
2018-03-11,68
2018-03-18,73
2018-03-25,73
2018-04-01,71
2018-04-08,74
2018-04-15,73
2018-04-22,73
2018-04-29,78
2018-05-06,78
2018-05-13,80
2018-05-20,82
2018-05-27,85
2018-06-03,83
2018-06-10,90
2018-06-17,84
2018-06-24,87
2018-07-01,86
2018-07-08,89
2018-07-15,86
2018-07-22,85
2018-07-29,90
2018-08-05,84
2018-08-12,82
2018-08-19,78
2018-08-26,77
2018-09-02,76
2018-09-09,67
2018-09-16,76
2018-09-23,70
2018-09-30,70
2018-10-07,74
2018-10-14,73
2018-10-21,72
2018-10-28,72
2018-11-04,70
2018-11-11,74
2018-11-18,66
2018-11-25,64
2018-12-02,62
2018-12-09,71
2018-12-16,67
2018-12-23,72
2018-12-30,76
2019-01-06,75
2019-01-13,76
2019-01-20,73
2019-01-27,70
2019-02-03,70
2019-02-10,68
2019-02-17,73
2019-02-24,68
2019-03-03,67
2019-03-10,80
2019-03-17,77
2019-03-24,76
2019-03-31,83
2019-04-07,71
2019-04-14,75
2019-04-21,81
2019-04-28,79
2019-05-05,75
2019-05-12,78
2019-05-19,81
2019-05-26,85
2019-06-02,93
2019-06-09,88
2019-06-16,83
2019-06-23,86
2019-06-30,89
2019-07-07,87
2019-07-14,86
2019-07-21,87
2019-07-28,88
2019-08-04,85
2019-08-11,82
2019-08-18,83
2019-08-25,81
2019-09-01,78
2019-09-08,69
2019-09-15,69
2019-09-22,74
2019-09-29,71
2019-10-06,73
2019-10-13,72
2019-10-20,71
2019-10-27,70
2019-11-03,70
2019-11-10,74
2019-11-17,68
2019-11-24,69
2019-12-01,64
2019-12-08,66
2019-12-15,70
2019-12-22,73
2019-12-29,78
2020-01-05,72
2020-01-12,66
2020-01-19,67
2020-01-26,62
2020-02-02,68
2020-02-09,69
2020-02-16,72
2020-02-23,68
2020-03-01,77
2020-03-08,63
2020-03-15,64
2020-03-22,70
2020-03-29,75
2020-04-05,80
2020-04-12,79
2020-04-19,80
2020-04-26,87
2020-05-03,93
2020-05-10,93
2020-05-17,100
2020-05-24,96
2020-05-31,89
2020-06-07,96
2020-06-14,96
2020-06-21,93
2020-06-28,93
2020-07-05,98
2020-07-12,95
2020-07-19,94
2020-07-26,95
2020-08-02,86
2020-08-09,89
2020-08-16,84
2020-08-23,84
2020-08-30,77
2020-09-06,80
2020-09-13,80
2020-09-20,78
2020-09-27,80
2020-10-04,77
2020-10-11,79
2020-10-18,76
2020-10-25,76
2020-11-01,59
2020-11-08,73
2020-11-15,75
2020-11-22,74
2020-11-29,74
2020-12-06,71
2020-12-13,72
2020-12-20,69
2020-12-27,83
2021-01-03,70
2021-01-10,74
2021-01-17,77
2021-01-24,75
2021-01-31,77
2021-02-07,75
2021-02-14,78
2021-02-21,80
2021-02-28,78
2021-03-07,85
2021-03-14,83
2021-03-21,80
2021-03-28,88
2021-04-04,80
2021-04-11,81
2021-04-18,80
