,Year,variable,value
0,1990,Meningitis,2151887.0
1,1991,Meningitis,2144306.0
2,1992,Meningitis,2145080.0
3,1993,Meningitis,2133428.0
4,1994,Meningitis,2111686.0
5,1995,Meningitis,2098182.0
6,1996,Meningitis,2143021.0
7,1997,Meningitis,2062444.0
8,1998,Meningitis,2022090.0
9,1999,Meningitis,1995790.0
10,2000,Meningitis,1967953.0
11,2001,Meningitis,1929865.0
12,2002,Meningitis,1865148.0
13,2003,Meningitis,1826874.0
14,2004,Meningitis,1785347.0
15,2005,Meningitis,1743706.0
16,2006,Meningitis,1720102.0
17,2007,Meningitis,1681577.0
18,2008,Meningitis,1623779.0
19,2009,Meningitis,1589376.0
20,2010,Meningitis,1545082.0
21,2011,Meningitis,1516484.0
22,2012,Meningitis,1479859.0
23,2013,Meningitis,1458208.0
24,2014,Meningitis,1435767.0
25,2015,Meningitis,1402317.0
26,2016,Meningitis,1391201.0
27,2017,Meningitis,1355438.0
28,1990,Lower_resp_infections,15892107.0
29,1991,Lower_resp_infections,15761704.0
30,1992,Lower_resp_infections,15615504.0
31,1993,Lower_resp_infections,15453587.0
32,1994,Lower_resp_infections,15240803.0
33,1995,Lower_resp_infections,15060983.0
34,1996,Lower_resp_infections,14819725.0
35,1997,Lower_resp_infections,14645465.0
36,1998,Lower_resp_infections,14435140.0
37,1999,Lower_resp_infections,14169812.0
38,2000,Lower_resp_infections,13912048.0
39,2001,Lower_resp_infections,13615253.0
40,2002,Lower_resp_infections,13376462.0
41,2003,Lower_resp_infections,13181997.0
42,2004,Lower_resp_infections,12946653.0
43,2005,Lower_resp_infections,12804586.0
44,2006,Lower_resp_infections,12644102.0
45,2007,Lower_resp_infections,12527120.0
46,2008,Lower_resp_infections,12456876.0
47,2009,Lower_resp_infections,12383542.0
48,2010,Lower_resp_infections,12315869.0
49,2011,Lower_resp_infections,12287623.0
50,2012,Lower_resp_infections,12244069.0
51,2013,Lower_resp_infections,12183996.0
52,2014,Lower_resp_infections,12148599.0
53,2015,Lower_resp_infections,12176363.0
54,2016,Lower_resp_infections,12158734.0
55,2017,Lower_resp_infections,12098314.0
56,1990,Intestinal_infections,886151.0
57,1991,Intestinal_infections,885740.0
58,1992,Intestinal_infections,885513.0
59,1993,Intestinal_infections,882550.0
60,1994,Intestinal_infections,882192.0
61,1995,Intestinal_infections,874545.0
62,1996,Intestinal_infections,863389.0
63,1997,Intestinal_infections,853560.0
64,1998,Intestinal_infections,841978.0
65,1999,Intestinal_infections,831408.0
66,2000,Intestinal_infections,820755.0
67,2001,Intestinal_infections,809159.0
68,2002,Intestinal_infections,797130.0
69,2003,Intestinal_infections,785099.0
70,2004,Intestinal_infections,772716.0
71,2005,Intestinal_infections,762328.0
72,2006,Intestinal_infections,750650.0
73,2007,Intestinal_infections,739422.0
