Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,China,CHN,12.9,12.1,11.5,11.1,10.7,10.2,9.6,9,8.6,8.4,8.1,8.2,8.1,8.1,8.1
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Saudi Arabia,SAU,3.7,4,4.3,4.6,5,5.5,6.1,6.4,6.5,6.6,6.3,6.3,6.2,6.1,6
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Canada,CAN,12.2,11.2,11.5,11.5,12,12.1,11.3,11.8,12.1,12.7,13,11.9,13,12,11.8
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Argentina,ARG,8.6,8.6,8.3,8.7,8.4,8.6,8.5,9.1,8.6,9.3,8.3,8.3,8.9,9.2,8.4
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Vietnam,VNM,6.3,6.4,6.7,6.9,6.9,7,7.2,7.4,7.5,7.6,7.7,7.7,7.7,7.6,7.5
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Nigeria,NGA,4.8,4.7,4.7,4.6,4.5,4.4,4.4,4.2,4.1,3.9,3.7,3.7,3.6,3.5,3.5
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Finland,FIN,19.9,21,19.7,20.6,20.4,18.6,17.9,17,17.2,15.4,14,15.2,15.9,16.2,15.3
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Brazil,BRA,4.7,4.7,4.9,5.1,5.1,5,5.2,5.4,5.6,5.6,5.9,6,6.6,7,6.9
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Australia,AUS,11.2,10.6,10.9,11.6,11.2,11.7,11.2,11.7,11.5,12.7,13.2,12.2,13.1,12.4,12.5
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Japan,JPN,24.3,23.9,25,24.4,24.9,24.1,23.4,21.6,21.4,20.1,19.1,17.5,17,16.7,15.3
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,South Africa,ZAF,24.4,23.6,24.6,26.7,26.7,24.6,22.4,22.9,23.7,24.1,24.5,24.4,25.2,24.1,23.5
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,United Kingdom,GBR,7.9,7.8,7.6,8.1,8,7.8,8.3,8.2,8.8,8.6,8.8,8.5,8.2,8.1,7.9
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,United States,USA,11.9,12.1,12.4,12.7,12.8,13.1,13.4,13.5,13.5,14,14.4,15.1,15.9,15.7,16.1
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Spain,ESP,8,7.5,7.4,7.8,7.6,6.9,7.1,7.7,8.5,8.6,7.9,7.8,8.2,7.8,7.7
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,
Last Updated: 04/27/2021,,,,,,,,,,,,,,,,,,
