Country,Year,Life Ladder,GDP per capita,Social support,Life expectancy,Freedom,Corruption,Suicide rate (per 100K people)
Argentina,2006,6.313,9.942,0.938,66.82,0.733,0.852,8.6
Argentina,2007,6.0729999999999995,10.017999999999999,0.862,66.94,0.653,0.8809999999999999,8.3
Argentina,2008,5.961,10.048,0.892,67.06,0.6779999999999999,0.865,8.7
Argentina,2009,6.4239999999999995,9.977,0.919,67.18,0.637,0.885,8.4
Argentina,2010,6.441,10.066,0.927,67.3,0.73,0.855,8.6
Argentina,2011,6.776,10.112,0.889,67.48,0.816,0.755,8.5
Argentina,2012,6.468,10.091000000000001,0.902,67.66,0.747,0.8170000000000001,9.1
Argentina,2013,6.582000000000001,10.103,0.91,67.84,0.737,0.823,8.6
Argentina,2014,6.671,10.067,0.9179999999999999,68.02,0.745,0.8540000000000001,9.3
Argentina,2015,6.697,10.083,0.9259999999999999,68.2,0.8809999999999999,0.851,8.3
Argentina,2016,6.4270000000000005,10.051,0.883,68.4,0.848,0.851,8.3
Argentina,2017,6.039,10.067,0.907,68.6,0.8320000000000001,0.841,8.9
Argentina,2018,5.792999999999999,10.032,0.9,68.8,0.846,0.855,9.2
Argentina,2019,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,0.83,8.4
Australia,2005,7.341,10.659,0.968,71.4,0.935,0.39,11.2
Australia,2007,7.285,10.703,0.965,71.72,0.8909999999999999,0.513,10.9
Australia,2008,7.254,10.719000000000001,0.9470000000000001,71.88,0.9159999999999999,0.431,11.6
Australia,2010,7.45,10.722000000000001,0.955,72.2,0.932,0.366,11.7
Australia,2011,7.406000000000001,10.732999999999999,0.9670000000000001,72.3,0.945,0.382,11.2
Australia,2012,7.196000000000001,10.754000000000001,0.945,72.4,0.935,0.368,11.7
Australia,2013,7.364,10.762,0.9279999999999999,72.5,0.9329999999999999,0.43200000000000005,11.5
Australia,2014,7.289,10.772,0.924,72.6,0.9229999999999999,0.442,12.7
Australia,2015,7.309,10.779000000000002,0.9520000000000001,72.7,0.922,0.35700000000000004,13.2
Australia,2016,7.25,10.790999999999999,0.9420000000000001,73.0,0.922,0.39899999999999997,12.2
Australia,2017,7.257000000000001,10.798,0.95,73.3,0.9109999999999999,0.41100000000000003,13.1
Australia,2018,7.1770000000000005,10.811,0.94,73.6,0.9159999999999999,0.405,12.4
Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.43,12.5
Brazil,2005,6.6370000000000005,9.437999999999999,0.883,63.3,0.882,0.745,4.7
Brazil,2007,6.321000000000001,9.515,0.8859999999999999,63.78,0.777,0.728,4.9
Brazil,2008,6.691,9.555,0.878,64.02,0.782,0.688,5.1
