,Country name,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Perceptions of corruption
66,Australia,7.341,10.659,0.968,71.4,0.935,0.39
67,Australia,7.285,10.703,0.965,71.72,0.8909999999999999,0.513
68,Australia,7.254,10.719000000000001,0.9470000000000001,71.88,0.9159999999999999,0.431
69,Australia,7.45,10.722000000000001,0.955,72.2,0.932,0.366
70,Australia,7.406000000000001,10.732999999999999,0.9670000000000001,72.3,0.945,0.382
71,Australia,7.196000000000001,10.754000000000001,0.945,72.4,0.935,0.368
72,Australia,7.364,10.762,0.9279999999999999,72.5,0.9329999999999999,0.43200000000000005
73,Australia,7.289,10.772,0.924,72.6,0.9229999999999999,0.442
74,Australia,7.309,10.779000000000002,0.9520000000000001,72.7,0.922,0.35700000000000004
75,Australia,7.25,10.790999999999999,0.9420000000000001,73.0,0.922,0.39899999999999997
76,Australia,7.257000000000001,10.798,0.95,73.3,0.9109999999999999,0.41100000000000003
77,Australia,7.1770000000000005,10.811,0.94,73.6,0.9159999999999999,0.405
78,Australia,7.234,10.815,0.943,73.9,0.9179999999999999,0.43
79,Australia,7.1370000000000005,10.76,0.937,74.2,0.905,0.491
218,Brazil,6.6370000000000005,9.437999999999999,0.883,63.3,0.882,0.745
219,Brazil,6.321000000000001,9.515,0.8859999999999999,63.78,0.777,0.728
220,Brazil,6.691,9.555,0.878,64.02,0.782,0.688
221,Brazil,7.001,9.544,0.9129999999999999,64.26,0.767,0.723
222,Brazil,6.837000000000001,9.607000000000001,0.9059999999999999,64.5,0.8059999999999999,0.6559999999999999
223,Brazil,7.037999999999999,9.637,0.9159999999999999,64.76,0.8340000000000001,0.662
224,Brazil,6.66,9.647,0.89,65.02,0.8490000000000001,0.623
225,Brazil,7.14,9.668,0.91,65.28,0.785,0.7070000000000001
226,Brazil,6.981,9.664,0.898,65.54,0.7140000000000001,0.71
227,Brazil,6.547000000000001,9.62,0.907,65.8,0.799,0.7709999999999999
228,Brazil,6.375,9.578,0.912,66.0,0.807,0.7809999999999999
229,Brazil,6.332999999999999,9.583,0.905,66.2,0.765,0.794
230,Brazil,6.191,9.589,0.882,66.4,0.7509999999999999,0.763
231,Brazil,6.4510000000000005,9.592,0.899,66.6,0.83,0.762
232,Brazil,6.11,9.522,0.831,66.8,0.7859999999999999,0.7290000000000001
845,Japan,6.516,10.529000000000002,0.9279999999999999,73.2,0.868,0.6990000000000001
846,Japan,6.2379999999999995,10.558,0.938,73.44,0.7959999999999999,0.809
847,Japan,5.9110000000000005,10.546,0.887,73.56,0.772,0.816
848,Japan,5.845,10.491,0.888,73.68,0.73,0.74
849,Japan,6.057,10.532,0.902,73.8,0.772,0.77
850,Japan,6.263,10.532,0.917,73.98,0.8140000000000001,0.7340000000000001
851,Japan,5.968,10.549000000000001,0.905,74.16,0.753,0.6920000000000001
852,Japan,5.959,10.57,0.924,74.34,0.821,0.65
853,Japan,5.922999999999999,10.575,0.9,74.52,0.838,0.617
