,country,year,sex,age,suicides_no,population,percentage
2160,Australia,1979,female,15-24 years,71.0,1236800.0,0.005740620957309185
2161,Australia,1979,female,25-34 years,86.0,1138500.0,0.007553798858146684
2162,Australia,1979,female,35-54 years,171.0,1572100.0,0.0108771706634438
2163,Australia,1979,female,5-14 years,1.0,1246500.0,8.022462896109105e-05
2164,Australia,1979,female,55-74 years,135.0,1137800.0,0.011865002636667253
2165,Australia,1979,female,75+ years,15.0,309900.0,0.004840271055179091
2166,Australia,1979,male,15-24 years,234.0,1290800.0,0.01812829253176325
2167,Australia,1979,male,25-34 years,272.0,1168800.0,0.02327173169062286
2168,Australia,1979,male,35-54 years,415.0,1660700.0,0.0249894622749443
2169,Australia,1979,male,5-14 years,2.0,1312400.0,0.00015239256324291376
2170,Australia,1979,male,55-74 years,240.0,1033500.0,0.023222060957910014
2171,Australia,1979,male,75+ years,33.0,171600.0,0.019230769230769232
2172,Australia,1980,female,15-24 years,56.0,1244600.0,0.004499437570303712
2173,Australia,1980,female,25-34 years,81.0,1168300.0,0.006933150731832577
2174,Australia,1980,female,35-54 years,152.0,1597800.0,0.009513080485667793
2175,Australia,1980,female,5-14 years,2.0,1250400.0,0.0001599488163787588
2176,Australia,1980,female,55-74 years,88.0,1165900.0,0.007547817136975726
2177,Australia,1980,female,75+ years,29.0,319300.0,0.009082367679298466
2178,Australia,1980,male,15-24 years,229.0,1304600.0,0.017553273033880115
2179,Australia,1980,male,25-34 years,273.0,1192000.0,0.02290268456375839
2180,Australia,1980,male,35-54 years,387.0,1688500.0,0.022919751258513473
2181,Australia,1980,male,5-14 years,4.0,1316100.0,0.0003039282729275891
2182,Australia,1980,male,55-74 years,248.0,1059100.0,0.023416108016240205
2183,Australia,1980,male,75+ years,57.0,178500.0,0.031932773109243695
2184,Australia,1981,female,15-24 years,56.0,1280300.0,0.004373974849644615
2185,Australia,1981,female,25-34 years,71.0,1213700.0,0.0058498805306088815
2186,Australia,1981,female,35-54 years,160.0,1629500.0,0.00981896287204664
2187,Australia,1981,female,5-14 years,1.0,1264700.0,7.907013520993121e-05
2188,Australia,1981,female,55-74 years,104.0,1203000.0,0.008645054031587697
2189,Australia,1981,female,75+ years,21.0,331100.0,0.006342494714587738
2190,Australia,1981,male,15-24 years,238.0,1321500.0,0.018009837306091563
2191,Australia,1981,male,25-34 years,271.0,1243400.0,0.021795078011902846
2192,Australia,1981,male,35-54 years,410.0,1702500.0,0.024082232011747428
2193,Australia,1981,male,5-14 years,4.0,1322800.0,0.00030238887208950706
2194,Australia,1981,male,55-74 years,276.0,1088800.0,0.02534900808229243
2195,Australia,1981,male,75+ years,59.0,187100.0,0.03153393907001604
2196,Australia,1982,female,15-24 years,39.0,1289000.0,0.003025601241272304
2197,Australia,1982,female,25-34 years,88.0,1226400.0,0.007175472928897587
2198,Australia,1982,female,35-54 years,156.0,1687000.0,0.00924718435091879
