Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,United States,USA,16.1
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,United Kingdom,GBR,7.9
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Spain,ESP,7.7
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,South Africa,ZAF,23.5
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Japan,JPN,15.3
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Brazil,BRA,6.9
"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Australia,AUS,12.5
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 04/27/2021,,,,
