Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,United States,USA,7.5
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,United Kingdom,GBR,4
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Spain,ESP,4.2
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,South Africa,ZAF,9.8
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Japan,JPN,9.2
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Brazil,BRA,3
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Australia,AUS,6.4
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,United States,USA,25
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,United Kingdom,GBR,11.8
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Spain,ESP,11.4
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,South Africa,ZAF,37.6
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Japan,JPN,21.8
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Brazil,BRA,10.9
"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Australia,AUS,18.6
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 04/27/2021,,,,
