,Year,Entity,Num_of_executions (Amnesty Int),Fire_heat_&_hot_substances,Drowning,Road_injuries,Exposure_to_forces,Interpersonal_violence,Environmental_heat & cold_expo,Self-harm
503,1990,Barbados,,8.4373990617993,15.212094369701632,35.4742134197106,0.0,23.102103305618986,0.5741445524341473,13.32294034345272
888,1990,Burkina Faso,,585.8936372585604,691.0591020397183,2013.3187521310097,0.0,1171.113288210763,78.27667567091133,719.9905360058864
5756,1990,Switzerland,,47.65642205692521,90.7796321045829,1042.1898899645064,5.000000005475554,103.8053923779202,22.821548399837347,1778.1669780858554
391,1990,Azerbaijan,,466.957016718817,573.4363119101859,1092.4839895037078,0.0,614.421000916981,116.4366797443991,207.96336117005697
2100,1990,Fiji,,27.8715737932711,56.84020724192386,82.59001555313476,0.0,24.60071607554186,3.358525378730865,67.07531502885891
2636,1990,High-income Asia Pacific,,2610.9208628705887,6256.968614495246,31528.28256963458,301.3523474297557,2025.0363304133489,942.0046454657028,29214.2208549286
6437,1990,Vietnam,,593.9676799973369,11206.42184083764,16100.312598982648,183.9999975305877,1372.07797675303,68.0280384115923,5149.141263028733
3820,1990,Micronesia (country),,2.119363923445535,10.150408976051256,17.719269405136355,0.0,6.0784473842369655,1.3491252384258234,18.84694730477494
1932,1990,England,,660.799381738767,392.55596487349663,4782.7499518904815,72.47681815995037,471.18248603479634,227.1251492924693,4977.814443857015
5053,1990,Scotland,,96.23702585568228,54.06910488153542,597.3941173886509,6.852370731195299,87.96332804866044,32.07939703469524,742.3861780879362
363,1990,Austria,,71.70100994125586,119.943377556414,1455.0388890416027,2.9999999975739247,111.75012505687968,30.394245166543342,1923.484888527062
3310,1990,Lebanon,,179.5559412675595,102.23688082456415,464.2565940625198,0.0,1376.6327106792105,5.441262921167897,179.47082801480104
2664,1990,High-middle SDI,,29385.98276341185,88347.98060298295,252068.6392338996,40764.4106686812,81883.77934420598,24600.333920544377,181223.5259567976
5924,1990,Timor,,37.79452913373886,121.86517936620922,106.83416119736012,0.0,33.33439907817348,2.030469259344972,79.35239161351967
4212,1990,Niger,,594.7191529586063,1367.5572324826142,1959.6923892848504,0.0,551.0659739959085,117.4622638800971,320.23388463642567
5035,1990,Saudi Arabia,,819.8577246915665,1308.3080158084647,6297.187164900719,0.0,143.5578595069941,98.82544952651746,284.42293598327814
4660,1990,Peru,,619.2744433495402,1583.725959388,3843.909561387048,293.9999950873354,1165.9141455894498,209.1651590821788,781.3244499326601
2692,1990,Honduras,,56.58869448561013,379.3756838501317,920.8931951936164,4.9999999927116585,2159.045919402173,7.338754522932837,210.5422020114684
3764,1990,Mauritius,,64.80615463161331,50.78036220911616,148.18402617342596,0.0,23.546138430397885,0.6807058488538721,145.1313154625915
1730,1990,Dominican Republic,,177.54835566843792,332.977741856484,1433.9975426467736,0.0,880.0516358939359,49.17619950705419,290.8499856193866
2608,1990,High-income,,18094.134068757947,19448.1003230309,160790.23934452896,879.0135908664847,37124.82765817708,5624.017157021624,137510.85155419598
