,Year,Entity,variable,value
0,1990,Barbados,index,503.0
1,1990,Burkina Faso,index,888.0
2,1990,Switzerland,index,5756.0
3,1990,Azerbaijan,index,391.0
4,1990,Fiji,index,2100.0
5,1990,High-income Asia Pacific,index,2636.0
6,1990,Vietnam,index,6437.0
7,1990,Micronesia (country),index,3820.0
8,1990,England,index,1932.0
9,1990,Scotland,index,5053.0
10,1990,Austria,index,363.0
11,1990,Lebanon,index,3310.0
12,1990,High-middle SDI,index,2664.0
13,1990,Timor,index,5924.0
14,1990,Niger,index,4212.0
15,1990,Saudi Arabia,index,5035.0
16,1990,Peru,index,4660.0
17,1990,Honduras,index,2692.0
18,1990,Mauritius,index,3764.0
19,1990,Dominican Republic,index,1730.0
20,1990,High-income,index,2608.0
21,1990,Australia,index,335.0
22,1990,Malta,index,3678.0
23,1990,Mozambique,index,4015.0
24,1990,Cuba,index,1531.0
25,1990,Guyana,index,2524.0
26,1990,Sweden,index,5728.0
27,1990,Bahrain,index,451.0
28,1990,Equatorial Guinea,index,1963.0
29,1990,Serbia,index,5109.0
30,1990,Haiti,index,2552.0
31,1990,Norway,index,4436.0
32,1990,Southeast Asia,index,5476.0
33,1990,Venezuela,index,6402.0
34,1990,Lesotho,index,3338.0
35,1990,Paraguay,index,4632.0
36,1990,High SDI,index,2580.0
37,1990,"Central Europe, Eastern Europe, and Central Asia",index,1195.0
38,1990,Sri Lanka,index,5616.0
39,1990,Bahamas,index,419.0
40,1990,Madagascar,index,3538.0
41,1990,Croatia,index,1503.0
42,1990,Turkmenistan,index,6120.0
43,1990,Senegal,index,5081.0
44,1990,Liberia,index,3366.0
45,1990,Wales,index,6458.0
46,1990,Thailand,index,5899.0
47,1990,Western Sub-Saharan Africa,index,6518.0
48,1990,Nicaragua,index,4184.0
49,1990,Namibia,index,4071.0
50,1990,Central Sub-Saharan Africa,index,1251.0
51,1990,Saint Vincent and the Grenadines,index,4941.0
52,1990,Oman,index,4494.0
53,1990,Argentina,index,224.0
54,1990,Latin America and Caribbean,index,3254.0
55,1990,Turkey,index,6092.0
56,1990,Iran,index,2853.0
57,1990,Malawi,index,3566.0
58,1990,Cambodia,index,944.0
59,1990,Philippines,index,4688.0
60,1990,Saint Lucia,index,4913.0
61,1990,Cape Verde,index,1028.0
62,1990,Tropical Latin America,index,6036.0
63,1990,Antigua and Barbuda,index,196.0
64,1990,Iraq,index,2881.0
65,1990,Armenia,index,252.0
66,1990,Central Latin America,index,1223.0
67,1990,Southern Latin America,index,5532.0
68,1990,Malaysia,index,3601.0
69,1990,Myanmar,index,4043.0
70,1990,El Salvador,index,1904.0
71,1990,"Southeast Asia, East Asia, and Oceania",index,5504.0
72,1990,Hungary,index,2730.0
73,1990,Cote d'Ivoire,index,1475.0
74,1990,Burundi,index,916.0
75,1990,Western Europe,index,6488.0
76,1990,Sao Tome and Principe,index,4997.0
77,1990,Latvia,index,3282.0
78,1990,Northern Ireland,index,4380.0
79,1990,Iceland,index,2758.0
80,1990,Australasia,index,280.0
81,1990,Egypt,index,1883.0
82,1990,Costa Rica,index,1447.0
83,1990,Syria,index,5788.0
84,1990,Samoa,index,4969.0
85,1990,India,index,2792.0
86,1990,Indonesia,index,2820.0
87,1990,Yemen,index,6593.0
88,1990,Pakistan,index,4527.0
89,1990,Caribbean,index,1056.0
90,1990,Somalia,index,5318.0
91,1990,North Africa and Middle East,index,4268.0
92,1990,Gambia,index,2219.0
93,1990,Brazil,index,804.0
94,1990,Low SDI,index,3450.0
95,1990,Bhutan,index,671.0
96,1990,Georgia,index,2243.0
97,1990,Mongolia,index,3934.0
98,1990,United States,index,6272.0
99,1990,North Macedonia,index,4352.0
100,1990,Solomon Islands,index,5281.0
101,1990,Germany,index,2271.0
102,1990,Eswatini,index,2044.0
103,1990,Bermuda,index,643.0
104,1990,Luxembourg,index,3506.0
105,1990,Mexico,index,3792.0
106,1990,South Korea,index,5420.0
107,1990,United Kingdom,index,6234.0
108,1990,Tonga,index,5980.0
109,1990,Bolivia,index,699.0
110,1990,Democratic Republic of Congo,index,1618.0
111,1990,Djibouti,index,1674.0
112,1990,Moldova,index,3903.0
113,1990,Trinidad and Tobago,index,6008.0
114,1990,Sub-Saharan Africa,index,5644.0
115,1990,Central African Republic,index,1084.0
116,1990,Finland,index,2128.0
117,1990,United Arab Emirates,index,6213.0
118,1990,Ukraine,index,6178.0
119,1990,Botswana,index,783.0
120,1990,Low-middle SDI,index,3478.0
121,1990,Palestine,index,4555.0
122,1990,France,index,2156.0
123,1990,Bosnia and Herzegovina,index,727.0
124,1990,Ethiopia,index,2075.0
125,1990,Denmark,index,1646.0
126,1990,South Africa,index,5337.0
127,1990,Sudan,index,5682.0
128,1990,Gabon,index,2187.0
129,1990,North America,index,4296.0
130,1990,Vanuatu,index,6374.0
131,1990,Ghana,index,2299.0
132,1990,Panama,index,4576.0
133,1990,Belarus,index,539.0
134,1990,Papua New Guinea,index,4604.0
135,1990,Eritrea,index,1988.0
136,1990,Guatemala,index,2440.0
137,1990,Uzbekistan,index,6346.0
138,1990,Uganda,index,6150.0
139,1990,Nigeria,index,4245.0
140,1990,Morocco,index,3987.0
141,1990,Togo,index,5952.0
142,1990,Sierra Leone,index,5169.0
143,1990,Middle SDI,index,3875.0
144,1990,Central Europe,index,1167.0
145,1990,Guinea,index,2468.0
146,1990,Bulgaria,index,860.0
147,1990,Bangladesh,index,484.0
148,1990,Cyprus,index,1559.0
149,1990,Seychelles,index,5141.0
150,1990,Guinea-Bissau,index,2496.0
