,Entity,Code,Year,Num_of_executions (Amnesty Int),Meningitis,Lower_resp_infections,Intestinal_infections,Protein_energy_malnutrition,Terrorism,Cardiovascular,Alzheimer & dementias,Chronic_kidney,Chronic_resp,Cirrhosis & chronic_liver,Digestive,Hepatitis,Neoplasms,Parkinson,Fire_heat_&_hot_substances,Malaria,Drowning,Interpersonal_violence,HIV/AIDS,Drug use,Tuberculosis,Road_injuries,Maternal_disorders,Neonatal_disorders,Alcohol_use,Exposure_to_forces,Diarrheal,Environmental_heat & cold_expo,Nutritional_deficiencies,Self-harm,Conflict & terrorism,Diabetes mellitus,Poisonings,Total
6546,World,OWID_WRL,1990,,462420.0,3415941.0,215727.0,511855.0,7148.0,11941533.0,1022007.0,613746.0,3317205.0,898991.0,1714979.0,146880.0,5753106.0,147985.0,146483.0,672540.0,531956.0,353135.0,348600.0,70847.0,1607709.0,1150717.0,325395.0,2986076.0,112573.0,50241.0,2578292.0,58519.0,568075.0,758519.0,100684.0,607428.0,77543.0,43274855.0
6547,World,OWID_WRL,1991,,460790.0,3387086.0,215647.0,505260.0,8429.0,12118293.0,1059652.0,625366.0,3378941.0,920003.0,1747087.0,148437.0,5882381.0,152391.0,147103.0,693011.0,531082.0,364817.0,442148.0,76695.0,1611302.0,1163124.0,322845.0,2962910.0,119213.0,149947.0,2559318.0,60256.0,560874.0,777951.0,90046.0,626893.0,78089.0,43947387.0
6548,World,OWID_WRL,1992,,460807.0,3354599.0,215607.0,496215.0,9742.0,12337836.0,1094414.0,641469.0,3438691.0,939858.0,1777130.0,149501.0,6011481.0,156575.0,148241.0,711555.0,531760.0,387322.0,548500.0,83281.0,1624708.0,1185205.0,327343.0,2939486.0,131139.0,11560.0,2510532.0,63231.0,551577.0,806204.0,62971.0,649181.0,79733.0,44437451.0
6549,World,OWID_WRL,1993,,458119.0,3316737.0,214899.0,486659.0,,12699754.0,1134179.0,655652.0,3485855.0,959687.0,1803459.0,150109.0,6173634.0,161748.0,149955.0,729754.0,533767.0,418473.0,664116.0,88785.0,1621322.0,1207598.0,321770.0,2907771.0,149118.0,21345.0,2463313.0,69206.0,541168.0,832532.0,64155.0,674464.0,82248.0,45241351.0
6550,World,OWID_WRL,1994,,453357.0,3269526.0,214790.0,480182.0,7690.0,12929775.0,1168610.0,669061.0,3522354.0,977300.0,1824966.0,149699.0,6291743.0,166100.0,150823.0,743161.0,530349.0,422459.0,787138.0,93909.0,1618872.0,1228685.0,318410.0,2861226.0,162614.0,11588.0,2415808.0,73538.0,534084.0,851481.0,569178.0,697428.0,83257.0,46279160.0
6551,World,OWID_WRL,1995,,450389.0,3228872.0,213023.0,548712.0,6103.0,13041559.0,1203911.0,683230.0,3543249.0,994103.0,1845053.0,149628.0,6401372.0,170685.0,149395.0,761634.0,524007.0,425987.0,913327.0,97770.0,1610794.0,1245447.0,317219.0,2824391.0,163994.0,20818.0,2366171.0,74011.0,601954.0,859247.0,66339.0,721517.0,82787.0,46306699.0
6552,World,OWID_WRL,1996,,458859.0,3174943.0,210316.0,531953.0,6966.0,13085433.0,1235770.0,698048.0,3568727.0,1004877.0,1856867.0,148450.0,6476965.0,175021.0,146318.0,777027.0,509800.0,421337.0,1028066.0,99402.0,1601427.0,1246355.0,312354.0,2779388.0,159360.0,14154.0,2303104.0,69758.0,583423.0,847745.0,87038.0,746744.0,81206.0,46447201.0
6553,World,OWID_WRL,1997,,442692.0,3137364.0,207946.0,519169.0,10924.0,13178040.0,1268598.0,718768.0,3618802.0,1017073.0,1874412.0,149211.0,6557125.0,180029.0,145369.0,797105.0,497630.0,420280.0,1134822.0,99935.0,1618969.0,1252160.0,312860.0,2756279.0,154949.0,17295.0,2259534.0,66532.0,570175.0,842012.0,125244.0,774958.0,79460.0,46805722.0
6554,World,OWID_WRL,1998,,434150.0,3090783.0,205136.0,506173.0,4688.0,13281788.0,1305069.0,738604.0,3646100.0,1026529.0,1888827.0,149290.0,6664767.0,185698.0,142740.0,816747.0,484088.0,423723.0,1260348.0,101111.0,1623418.0,1256549.0,312976.0,2732165.0,154969.0,44212.0,2222650.0,68001.0,556440.0,838272.0,113754.0,800795.0,78208.0,47158768.0
6555,World,OWID_WRL,1999,,428955.0,3031894.0,202579.0,494701.0,3393.0,13499184.0,1344743.0,757593.0,3608996.0,1037956.0,1904721.0,148988.0,6795529.0,191729.0,143266.0,834704.0,469527.0,433530.0,1398343.0,101870.0,1617652.0,1271620.0,311269.0,2695788.0,162104.0,69545.0,2175624.0,66374.0,543703.0,841716.0,155192.0,825878.0,78687.0,47647354.0
